matricule,nom,prenom,filiere_code,annee_admission
ETU-ECO-001,TOKPO,Cédric,L1-ECO-2026,2025
ETU-ECO-002,VODOUHE,Diane,L1-ECO-2026,2025
ETU-ECO-003,WABI,Habibou,L1-ECO-2026,2025
ETU-ECO-004,YEHOUENOU,Nathalie,L1-ECO-2026,2025
ETU-ECO-005,BAHOUN,Marc,L1-ECO-2026,2025
ETU-ECO-006,KOFFI,Fatima,L1-ECO-2026,2025
ETU-ECO-007,SALIHOU,Pierre,L1-ECO-2026,2025
ETU-ECO-008,ZANNOU,Bénédicte,L1-ECO-2026,2025
ETU-ECO-009,DOE,Kossi,L2-ECO-2026,2024
ETU-ECO-010,AGBOSSOU,Marie,L2-ECO-2026,2024
ETU-ECO-011,TONATO,Yao,L2-ECO-2026,2024
ETU-ECO-012,DOSSOU,Amina,L2-ECO-2026,2024
ETU-ECO-013,GBAGUIDI,Serge,L2-ECO-2026,2024
ETU-ECO-014,HOUNGAN,Estelle,L2-ECO-2026,2024
ETU-ECO-015,ADJOVI,Wilfried,L2-ECO-2026,2024
ETU-ECO-016,SOGLO,Tatiana,L2-ECO-2026,2024
ETU-ECO-017,BIAOU,Rodrigue,L3-ECO-2026,2023
ETU-ECO-018,AMOUSSOU,Grâce,L3-ECO-2026,2023
ETU-ECO-019,ADJAKOU,David,L3-ECO-2026,2023
ETU-ECO-020,SOSSOU,Inès,L3-ECO-2026,2023
ETU-ECO-021,MENSAH,Franck,L3-ECO-2026,2023
ETU-ECO-022,BOHOUN,Alice,L3-ECO-2026,2023
ETU-ECO-023,AGOSSA,Léon,L3-ECO-2026,2023
ETU-ECO-024,AFFO,Claudine,L3-ECO-2026,2023
