matricule,nom,prenom,filiere_code,annee_admission
ETU-ELEC-001,WABI,Évariste,L1-ELEC-2026,2025
ETU-ELEC-002,YEHOUENOU,Florence,L1-ELEC-2026,2025
ETU-ELEC-003,BAHOUN,Kossi,L1-ELEC-2026,2025
ETU-ELEC-004,KOFFI,Rachid,L1-ELEC-2026,2025
ETU-ELEC-005,SALIHOU,Marie,L1-ELEC-2026,2025
ETU-ELEC-006,ZANNOU,Ibrahim,L1-ELEC-2026,2025
ETU-ELEC-007,DOE,Nadège,L1-ELEC-2026,2025
ETU-ELEC-008,AGBOSSOU,Félix,L1-ELEC-2026,2025
ETU-ELEC-009,TONATO,Pierre,L2-ELEC-2026,2024
ETU-ELEC-010,DOSSOU,Amina,L2-ELEC-2026,2024
ETU-ELEC-011,GBAGUIDI,Serge,L2-ELEC-2026,2024
ETU-ELEC-012,HOUNGAN,Estelle,L2-ELEC-2026,2024
ETU-ELEC-013,ADJOVI,Franck,L2-ELEC-2026,2024
ETU-ELEC-014,SOGLO,Diane,L2-ELEC-2026,2024
ETU-ELEC-015,BIAOU,Léon,L2-ELEC-2026,2024
ETU-ELEC-016,AMOUSSOU,Grâce,L2-ELEC-2026,2024
ETU-ELEC-017,ADJAKOU,Rodrigue,L3-ELEC-2026,2023
ETU-ELEC-018,SOSSOU,Claudine,L3-ELEC-2026,2023
ETU-ELEC-019,MENSAH,David,L3-ELEC-2026,2023
ETU-ELEC-020,BOHOUN,Inès,L3-ELEC-2026,2023
ETU-ELEC-021,AGOSSA,Wilfried,L3-ELEC-2026,2023
ETU-ELEC-022,AFFO,Tatiana,L3-ELEC-2026,2023
ETU-ELEC-023,KPANOU,Xavier,L3-ELEC-2026,2023
ETU-ELEC-024,FOLARIN,Bénédicte,L3-ELEC-2026,2023
