matricule,nom,prenom,filiere_code,annee_admission
ETU-GC-001,AHOUANNOU,Franck,L1-GC-2026,2025
ETU-GC-002,BOKO,Habibou,L1-GC-2026,2025
ETU-GC-003,GNACADJA,Inès,L1-GC-2026,2025
ETU-GC-004,OKOU,Joël,L1-GC-2026,2025
ETU-GC-005,DJOSSOU,Karen,L1-GC-2026,2025
ETU-GC-006,DAGA,Léon,L1-GC-2026,2025
ETU-GC-007,ZINFLOU,Marius,L1-GC-2026,2025
ETU-GC-008,TOSSOU,Nathalie,L1-GC-2026,2025
ETU-GC-009,HOUSSOU,Olivier,L2-GC-2026,2024
ETU-GC-010,AZONKPIN,Pascale,L2-GC-2026,2024
ETU-GC-011,ASSOGBA,Quentin,L2-GC-2026,2024
ETU-GC-012,DEGBEY,Rita,L2-GC-2026,2024
ETU-GC-013,GANGBO,Serge,L2-GC-2026,2024
ETU-GC-014,HOUNKPE,Tatiana,L2-GC-2026,2024
ETU-GC-015,KASSA,Urbain,L2-GC-2026,2024
ETU-GC-016,LAWANI,Viviane,L2-GC-2026,2024
ETU-GC-017,MEHOU,Wilfried,L3-GC-2026,2023
ETU-GC-018,NOUKPO,Xavier,L3-GC-2026,2023
ETU-GC-019,OUASSA,Yves,L3-GC-2026,2023
ETU-GC-020,PADONOU,Zénab,L3-GC-2026,2023
ETU-GC-021,QUENUM,Aristide,L3-GC-2026,2023
ETU-GC-022,SAGBO,Bérénice,L3-GC-2026,2023
ETU-GC-023,TOKPO,Cédric,L3-GC-2026,2023
ETU-GC-024,VODOUHE,Diane,L3-GC-2026,2023
