matricule,nom,prenom,filiere_code,annee_admission
ETU-MATH-001,KOUTON,Marius,L1-MATH-2026,2025
ETU-MATH-002,HOUENON,Karen,L1-MATH-2026,2025
ETU-MATH-003,AHOUANNOU,Joël,L1-MATH-2026,2025
ETU-MATH-004,BOKO,Pascale,L1-MATH-2026,2025
ETU-MATH-005,GNACADJA,Urbain,L1-MATH-2026,2025
ETU-MATH-006,OKOU,Rita,L1-MATH-2026,2025
ETU-MATH-007,DJOSSOU,Quentin,L1-MATH-2026,2025
ETU-MATH-008,DAGA,Viviane,L1-MATH-2026,2025
ETU-MATH-009,ZINFLOU,Aristide,L2-MATH-2026,2024
ETU-MATH-010,TOSSOU,Bérénice,L2-MATH-2026,2024
ETU-MATH-011,HOUSSOU,Cédric,L2-MATH-2026,2024
ETU-MATH-012,AZONKPIN,Florence,L2-MATH-2026,2024
ETU-MATH-013,ASSOGBA,Yves,L2-MATH-2026,2024
ETU-MATH-014,DEGBEY,Zénab,L2-MATH-2026,2024
ETU-MATH-015,GANGBO,Olivier,L2-MATH-2026,2024
ETU-MATH-016,HOUNKPE,Nathalie,L2-MATH-2026,2024
ETU-MATH-017,KASSA,Émile,L3-MATH-2026,2023
ETU-MATH-018,LAWANI,Sophie,L3-MATH-2026,2023
ETU-MATH-019,MEHOU,Koffi,L3-MATH-2026,2023
ETU-MATH-020,NOUKPO,Alice,L3-MATH-2026,2023
ETU-MATH-021,OUASSA,Félicien,L3-MATH-2026,2023
ETU-MATH-022,PADONOU,Fatima,L3-MATH-2026,2023
ETU-MATH-023,QUENUM,Jean,L3-MATH-2026,2023
ETU-MATH-024,SAGBO,Amina,L3-MATH-2026,2023
