matricule,nom,prenom,filiere_code,matiere_code,note,note_max,type_evaluation,coefficient,date_evaluation,semestre,annee_academique
ETU-ELEC-001,WABI,Évariste,L1-ELEC-2026,EA201,17.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-ELEC-001,WABI,Évariste,L1-ELEC-2026,EN301,16.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-ELEC-001,WABI,Évariste,L1-ELEC-2026,AUTO201,15.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-ELEC-001,WABI,Évariste,L1-ELEC-2026,ELTECH301,16.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-ELEC-001,WABI,Évariste,L1-ELEC-2026,TS201,17.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-ELEC-001,WABI,Évariste,L1-ELEC-2026,PHYA101,16.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-ELEC-002,YEHOUENOU,Florence,L1-ELEC-2026,EA201,16.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-ELEC-002,YEHOUENOU,Florence,L1-ELEC-2026,EN301,15.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-ELEC-002,YEHOUENOU,Florence,L1-ELEC-2026,AUTO201,16.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-ELEC-002,YEHOUENOU,Florence,L1-ELEC-2026,ELTECH301,15.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-ELEC-002,YEHOUENOU,Florence,L1-ELEC-2026,TS201,16.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-ELEC-002,YEHOUENOU,Florence,L1-ELEC-2026,PHYA101,17.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-ELEC-003,BAHOUN,Kossi,L1-ELEC-2026,EA201,13.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-ELEC-003,BAHOUN,Kossi,L1-ELEC-2026,EN301,12.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-ELEC-003,BAHOUN,Kossi,L1-ELEC-2026,AUTO201,14.00,20,Examen,2,2026-01-15,S1,2025-2026
