matricule,nom,prenom,filiere_code,matiere_code,note,note_max,type_evaluation,coefficient,date_evaluation,semestre,annee_academique
ETU-GC-001,AHOUANNOU,Franck,L1-GC-2026,RDM201,16.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-001,AHOUANNOU,Franck,L1-GC-2026,BA301,17.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-001,AHOUANNOU,Franck,L1-GC-2026,MDS201,15.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-001,AHOUANNOU,Franck,L1-GC-2026,TOPO101,16.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-001,AHOUANNOU,Franck,L1-GC-2026,HYD301,17.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-001,AHOUANNOU,Franck,L1-GC-2026,DT101,18.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-002,BOKO,Habibou,L1-GC-2026,RDM201,15.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-002,BOKO,Habibou,L1-GC-2026,BA301,16.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-002,BOKO,Habibou,L1-GC-2026,MDS201,16.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-002,BOKO,Habibou,L1-GC-2026,TOPO101,15.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-002,BOKO,Habibou,L1-GC-2026,HYD301,16.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-002,BOKO,Habibou,L1-GC-2026,DT101,17.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-003,GNACADJA,Inès,L1-GC-2026,RDM201,13.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-003,GNACADJA,Inès,L1-GC-2026,BA301,12.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-003,GNACADJA,Inès,L1-GC-2026,MDS201,14.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-003,GNACADJA,Inès,L1-GC-2026,TOPO101,13.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-003,GNACADJA,Inès,L1-GC-2026,HYD301,12.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-003,GNACADJA,Inès,L1-GC-2026,DT101,14.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-004,OKOU,Joël,L1-GC-2026,RDM201,12.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-004,OKOU,Joël,L1-GC-2026,BA301,11.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-004,OKOU,Joël,L1-GC-2026,MDS201,13.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-004,OKOU,Joël,L1-GC-2026,TOPO101,12.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-004,OKOU,Joël,L1-GC-2026,HYD301,11.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-004,OKOU,Joël,L1-GC-2026,DT101,13.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-005,DJOSSOU,Karen,L1-GC-2026,RDM201,10.00,20,Examen,2,2026-01-15,S1,2025-2026
