matricule,nom,prenom,filiere_code,matiere_code,note,note_max,type_evaluation,coefficient,date_evaluation,semestre,annee_academique
ETU-MATH-001,KOUTON,Marius,L1-MATH-2026,ANA201,17.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-MATH-001,KOUTON,Marius,L1-MATH-2026,ALG101,16.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-MATH-001,KOUTON,Marius,L1-MATH-2026,PROBA201,15.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-MATH-001,KOUTON,Marius,L1-MATH-2026,OPTIM301,16.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-MATH-001,KOUTON,Marius,L1-MATH-2026,ANUM201,17.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-MATH-002,HOUENON,Karen,L1-MATH-2026,ANA201,16.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-MATH-002,HOUENON,Karen,L1-MATH-2026,ALG101,15.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-MATH-002,HOUENON,Karen,L1-MATH-2026,PROBA201,16.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-MATH-002,HOUENON,Karen,L1-MATH-2026,OPTIM301,15.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-MATH-002,HOUENON,Karen,L1-MATH-2026,ANUM201,16.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-MATH-003,AHOUANNOU,Joël,L1-MATH-2026,ANA201,13.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-MATH-003,AHOUANNOU,Joël,L1-MATH-2026,ALG101,12.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-MATH-003,AHOUANNOU,Joël,L1-MATH-2026,PROBA201,14.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-MATH-003,AHOUANNOU,Joël,L1-MATH-2026,OPTIM301,12.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-MATH-003,AHOUANNOU,Joël,L1-MATH-2026,ANUM201,13.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-MATH-004,BOKO,Pascale,L1-MATH-2026,ANA201,12.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-MATH-004,BOKO,Pascale,L1-MATH-2026,ALG101,11.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-MATH-004,BOKO,Pascale,L1-MATH-2026,PROBA201,12.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-MATH-004,BOKO,Pascale,L1-MATH-2026,OPTIM301,11.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-MATH-004,BOKO,Pascale,L1-MATH-2026,ANUM201,12.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-MATH-005,GNACADJA,Urbain,L1-MATH-2026,ANA201,10.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-MATH-005,GNACADJA,Urbain,L1-MATH-2026,ALG101,9.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-MATH-005,GNACADJA,Urbain,L1-MATH-2026,PROBA201,11.00,20,Examen,2,2026-01-15,S1,2025-2026
